scenarios,early_detection_score_5,early_detection_score_10,early_detection_score
901,0.0,0.0,0.0
902,1.0,1.0,1.0
903,0.0,0.0,0.0
904,0.0,0.0,0.0
905,0.0,0.0,0.0
906,0.7550813375962908,0.7550813375962908,0.7550813375962908
907,0.0,0.0,0.0
908,0.0,0.0,0.0
909,0.0,0.0,0.0
910,0.0,0.0,0.0
911,0.0,0.0,0.0
912,0.2689414213699951,0.2689414213699951,0.2689414213699951
913,0.0,0.0,0.0
914,0.0,0.0,0.0
915,0.0,0.0,0.0
916,0.0,0.0,0.0
917,0.0,0.0,0.0
918,1.0,1.0,1.0
919,0.0,0.0,0.0
920,0.0,0.0,0.0
921,0.0,0.0,0.0
922,0.0,0.0,0.0
923,1.0,1.0,1.0
924,0.0,0.0,0.0
925,0.0,0.0,0.0
926,0.0,0.0,0.0
927,0.0,0.0,0.0
928,0.0,0.0,0.0
929,1.0,1.0,1.0
930,0.0,0.0,0.0
931,1.0,1.0,1.0
932,1.0,1.0,1.0
933,0.0,0.0,0.0
934,1.0,1.0,1.0
935,0.0,0.0,0.0
936,0.0,0.0,0.0
937,0.0,0.0,0.0
938,0.0,0.0,0.0
939,1.0,1.0,1.0
940,0.0,0.0,0.0
941,1.0,1.0,1.0
942,0.0,0.0,0.0
943,1.0,1.0,1.0
944,0.0,0.0,0.0
945,0.0,0.0,0.0
946,0.0,0.0,0.0
947,0.3775406687981454,0.3775406687981454,0.3775406687981454
948,0.0,0.0,0.0
949,0.0,0.0,0.0
950,0.0,0.0,0.0
951,0.0,0.0,0.0
952,0.0,0.0,0.0
953,1.0,1.0,1.0
954,1.0,1.0,1.0
955,1.0,1.0,1.0
956,0.0,0.0,0.0
957,0.0,0.0,0.7550813375962908
958,1.0,1.0,1.0
959,1.0,1.0,1.0
960,1.0,1.0,1.0
961,0.0,0.0,0.0
962,0.0,0.0,0.0
963,0.5378828427399902,0.5378828427399902,0.5378828427399902
964,0.0,0.0,0.0
965,1.0,1.0,1.0
966,0.7550813375962908,0.7550813375962908,0.7550813375962908
967,1.0,1.0,1.0
968,1.0,1.0,1.0
969,1.0,1.0,1.0
970,0.0,0.0,0.0
971,1.0,1.0,1.0
972,1.0,1.0,1.0
973,1.0,1.0,1.0
974,0.0,0.0,0.0
975,0.7550813375962908,0.7550813375962908,0.7550813375962908
976,0.0,0.0,0.0
977,0.0,0.0,0.0
978,0.7550813375962908,0.7550813375962908,0.7550813375962908
979,1.0,1.0,1.0
980,1.0,1.0,1.0
981,0.0,0.0,0.0
982,0.0,0.0,0.0
983,1.0,1.0,1.0
984,0.0,0.0,0.0
985,0.0,0.0,0.0
986,0.0,0.0,0.0
987,0.0,0.0,0.0
988,0.7550813375962908,0.7550813375962908,0.7550813375962908
989,0.0,0.0,0.0
990,0.0,0.0,0.0
991,1.0,1.0,1.0
992,0.0,0.0,0.0
993,0.0,0.0,0.0
994,0.0,0.0,0.0
995,0.0,0.0,0.0
996,0.0,0.0,0.0
997,1.0,1.0,1.0
998,1.0,1.0,1.0
999,0.7550813375962908,0.7550813375962908,0.7550813375962908
1000,0.3775406687981454,0.3775406687981454,0.3775406687981454
